,date,celebration,year,month,day
0,2014/1/1,Año Nuevo,2014,1,1
1,2014/1/6,Día de los Reyes Magos,2014,1,6
2,2014/3/24,Día de San José,2014,3,24
3,2014/4/17,Jueves Santo,2014,4,17
4,2014/4/18,Viernes Santo,2014,4,18
5,2014/5/1,Día del Trabajo,2014,5,1
6,2014/6/2,Ascensión del Señor,2014,6,2
7,2014/6/23,Corphus Christi,2014,6,23
8,2014/6/30,San Pedro y San Pablo,2014,6,30
9,2014/6/30,Sagrado Corazón de Jesús,2014,6,30
10,2014/7/20,Día de la Independencia,2014,7,20
11,2014/8/7,Batalla de Boyacá,2014,8,7
12,2014/8/18,La Asunción de la Virgen,2014,8,18
13,2014/10/13,Día de la Raza,2014,10,13
14,2014/11/3,Todos los Santos,2014,11,3
15,2014/11/17,Independencia de Cartagena,2014,11,17
16,2014/12/8,Día de la Inmaculada Concepción,2014,12,8
17,2014/12/25,Día de Navidad,2014,12,25
18,2014/03/08,Día de la Mujer,2014,03,08
19,2014/04/13,Domingo de Ramos,2014,04,13
20,2014/04/19,Sábado Santo,2014,04,19
21,2014/04/20,Domingo Santo,2014,04,20
22,2014/05/11,Día de la Madre,2014,05,11
23,2014/06/15,Día del Padre,2014,06,15
24,2014/08/01,Feria de las Flores,2014,08,01
25,2014/08/02,Feria de las Flores,2014,08,02
26,2014/08/03,Feria de las Flores,2014,08,03
27,2014/08/08,Feria de las Flores,2014,08,08
28,2014/08/09,Feria de las Flores,2014,08,09
29,2014/08/10,Feria de las Flores,2014,08,10
30,2014/09/20,Día de Amor y Amistad,2014,09,20
31,2014/10/31,Halloween,2014,10,31
32,2014/11/30,Alborada,2014,11,30
33,2014/12/07,Día de las velitas,2014,12,07
34,2014/12/24,Víspera de Navidad,2014,12,24
35,2014/12/31,Fin de Año,2014,12,31
36,2015/1/1,Año Nuevo,2015,1,1
37,2015/1/12,Día de los Reyes Magos,2015,1,12
38,2015/3/23,Día de San José,2015,3,23
39,2015/4/2,Jueves Santo,2015,4,2
40,2015/4/3,Viernes Santo,2015,4,3
41,2015/5/1,Día del Trabajo,2015,5,1
42,2015/5/18,Ascensión del Señor,2015,5,18
43,2015/6/8,Corphus Christi,2015,6,8
44,2015/6/15,Sagrado Corazón de Jesús,2015,6,15
45,2015/6/29,San Pedro y San Pablo,2015,6,29
46,2015/7/20,Día de la Independencia,2015,7,20
47,2015/8/7,Batalla de Boyacá,2015,8,7
48,2015/8/17,La Asunción de la Virgen,2015,8,17
49,2015/10/12,Día de la Raza,2015,10,12
50,2015/11/2,Todos los Santos,2015,11,2
51,2015/11/16,Independencia de Cartagena,2015,11,16
52,2015/12/8,Día de la Inmaculada Concepción,2015,12,8
53,2015/12/25,Día de Navidad,2015,12,25
54,2015/03/08,Día de la Mujer,2015,03,08
55,2015/03/29,Domingo de Ramos,2015,03,29
56,2015/04/04,Sábado Santo,2015,04,04
57,2015/04/05,Domingo Santo,2015,04,05
58,2015/05/10,Día de la Madre,2015,05,10
59,2015/06/21,Día del Padre,2015,06,21
60,2015/07/31,Feria de las Flores,2015,07,31
61,2015/08/01,Feria de las Flores,2015,08,01
62,2015/08/02,Feria de las Flores,2015,08,02
63,2015/08/08,Feria de las Flores,2015,08,08
64,2015/08/09,Feria de las Flores,2015,08,09
65,2015/09/19,Día de Amor y Amistad,2015,09,19
66,2015/10/31,Halloween,2015,10,31
67,2015/11/30,Alborada,2015,11,30
68,2015/12/07,Día de las velitas,2015,12,07
69,2015/12/24,Víspera de Navidad,2015,12,24
70,2015/12/31,Fin de Año,2015,12,31
71,2016/1/1,Año Nuevo,2016,1,1
72,2016/1/11,Día de los Reyes Magos,2016,1,11
73,2016/3/21,Día de San José,2016,3,21
74,2016/3/24,Jueves Santo,2016,3,24
75,2016/3/25,Viernes Santo,2016,3,25
76,2016/5/1,Día del Trabajo,2016,5,1
77,2016/5/9,Ascensión del Señor,2016,5,9
78,2016/5/30,Corphus Christi,2016,5,30
79,2016/6/6,Sagrado Corazón de Jesús,2016,6,6
80,2016/7/4,San Pedro y San Pablo,2016,7,4
81,2016/7/20,Día de la Independencia,2016,7,20
82,2016/8/7,Batalla de Boyacá,2016,8,7
83,2016/8/15,La Asunción de la Virgen,2016,8,15
84,2016/10/17,Día de la Raza,2016,10,17
85,2016/11/7,Todos los Santos,2016,11,7
86,2016/11/14,Independencia de Cartagena,2016,11,14
87,2016/12/8,Día de la Inmaculada Concepción,2016,12,8
88,2016/12/25,Día de Navidad,2016,12,25
89,2016/03/08,Día de la Mujer,2016,03,08
90,2016/03/20,Domingo de Ramos,2016,03,20
91,2016/03/26,Sábado Santo,2016,03,26
92,2016/03/27,Domingo Santo,2016,03,27
93,2016/05/08,Día de la Madre,2016,05,08
94,2016/06/19,Día del Padre,2016,06,19
95,2016/07/29,Feria de las Flores,2016,07,29
96,2016/07/30,Feria de las Flores,2016,07,30
97,2016/07/31,Feria de las Flores,2016,07,31
98,2016/08/05,Feria de las Flores,2016,08,05
99,2016/08/06,Feria de las Flores,2016,08,06
100,2016/09/17,Día de Amor y Amistad,2016,09,17
101,2016/10/31,Halloween,2016,10,31
102,2016/11/30,Alborada,2016,11,30
103,2016/12/07,Día de las velitas,2016,12,07
104,2016/12/24,Víspera de Navidad,2016,12,24
105,2016/12/31,Fin de Año,2016,12,31
106,2017/1/1,Año Nuevo,2017,1,1
107,2017/1/9,Día de los Reyes Magos,2017,1,9
108,2017/3/20,Día de San José,2017,3,20
109,2017/4/13,Jueves Santo,2017,4,13
110,2017/4/14,Viernes Santo,2017,4,14
111,2017/5/1,Día del Trabajo,2017,5,1
112,2017/5/29,Ascensión del Señor,2017,5,29
113,2017/6/19,Corphus Christi,2017,6,19
114,2017/6/26,Sagrado Corazón de Jesús,2017,6,26
115,2017/7/3,San Pedro y San Pablo,2017,7,3
116,2017/7/20,Día de la Independencia,2017,7,20
117,2017/8/7,Batalla de Boyacá,2017,8,7
118,2017/8/21,La Asunción de la Virgen,2017,8,21
119,2017/10/16,Día de la Raza,2017,10,16
120,2017/11/6,Todos los Santos,2017,11,6
121,2017/11/13,Independencia de Cartagena,2017,11,13
122,2017/12/8,Día de la Inmaculada Concepción,2017,12,8
123,2017/12/25,Día de Navidad,2017,12,25
124,2017/03/08,Día de la Mujer,2017,03,08
125,2017/04/09,Domingo de Ramos,2017,04,09
126,2017/04/15,Sábado Santo,2017,04,15
127,2017/04/16,Domingo Santo,2017,04,16
128,2017/05/14,Día de la Madre,2017,05,14
129,2017/06/18,Día del Padre,2017,06,18
130,2017/07/28,Feria de las Flores,2017,07,28
131,2017/07/29,Feria de las Flores,2017,07,29
132,2017/07/30,Feria de las Flores,2017,07,30
133,2017/08/04,Feria de las Flores,2017,08,04
134,2017/08/05,Feria de las Flores,2017,08,05
135,2017/08/06,Feria de las Flores,2017,08,06
136,2017/09/16,Día de Amor y Amistad,2017,09,16
137,2017/10/31,Halloween,2017,10,31
138,2017/11/30,Alborada,2017,11,30
139,2017/12/07,Día de las velitas,2017,12,07
140,2017/12/24,Víspera de Navidad,2017,12,24
141,2017/12/31,Fin de Año,2017,12,31
142,2018/1/1,Año Nuevo,2018,1,1
143,2018/1/8,Día de los Reyes Magos,2018,1,8
144,2018/3/19,Día de San José,2018,3,19
145,2018/3/29,Jueves Santo,2018,3,29
146,2018/3/30,Viernes Santo,2018,3,30
147,2018/5/1,Día del Trabajo,2018,5,1
148,2018/5/14,Ascensión del Señor,2018,5,14
149,2018/6/4,Corphus Christi,2018,6,4
150,2018/6/11,Sagrado Corazón de Jesús,2018,6,11
151,2018/7/2,San Pedro y San Pablo,2018,7,2
152,2018/7/20,Día de la Independencia,2018,7,20
153,2018/8/7,Batalla de Boyacá,2018,8,7
154,2018/8/20,La Asunción de la Virgen,2018,8,20
155,2018/10/15,Día de la Raza,2018,10,15
156,2018/11/5,Todos los Santos,2018,11,5
157,2018/11/12,Independencia de Cartagena,2018,11,12
158,2018/12/8,Día de la Inmaculada Concepción,2018,12,8
159,2018/12/25,Día de Navidad,2018,12,25
160,2018/03/08,Día de la Mujer,2018,03,08
161,2018/03/25,Domingo de Ramos,2018,03,25
162,2018/03/31,Sábado Santo,2018,03,31
163,2018/03/1,Domingo Santo,2018,03,1
164,2018/05/13,Día de la Madre,2018,05,13
165,2018/06/17,Día del Padre,2018,06,17
166,2018/08/03,Feria de las Flores,2018,08,03
167,2018/08/04,Feria de las Flores,2018,08,04
168,2018/08/05,Feria de las Flores,2018,08,05
169,2018/08/10,Feria de las Flores,2018,08,10
170,2018/08/11,Feria de las Flores,2018,08,11
171,2018/08/12,Feria de las Flores,2018,08,12
172,2018/09/15,Día de Amor y Amistad,2018,09,15
173,2018/10/31,Halloween,2018,10,31
174,2018/11/30,Alborada,2018,11,30
175,2018/12/07,Día de las velitas,2018,12,07
176,2018/12/24,Víspera de Navidad,2018,12,24
177,2018/12/31,Fin de Año,2018,12,31
