,date,celebration,year,month,day,is_holiday
0,2019-01-01,Año Nuevo,2019,01,01,1
1,2019-01-07,Día de los Reyes Magos,2019,01,07,1
2,2019-03-25,Día de San José,2019,03,25,1
3,2019-04-18,Jueves Santo,2019,04,18,1
4,2019-04-19,Viernes Santo,2019,04,19,1
5,2019-05-01,Día del Trabajo,2019,05,01,1
6,2019-06-03,Ascensión del Señor,2019,06,03,1
7,2019-06-24,Corphus Christi,2019,06,24,1
8,2019-07-01,San Pedro y San Pablo,2019,07,01,1
9,2019-07-01,Sagrado Corazón de Jesús,2019,07,01,1
10,2019-07-20,Día de la Independencia,2019,07,20,1
11,2019-08-07,Batalla de Boyacá,2019,08,07,1
12,2019-08-19,La Asunción de la Virgen,2019,08,19,1
13,2019-10-14,Día de la Raza,2019,10,14,1
14,2019-11-04,Todos los Santos,2019,11,04,1
15,2019-11-11,Independencia de Cartagena,2019,11,11,1
16,2019-12-08,Día de la Inmaculada Concepción,2019,12,08,1
17,2019-12-25,Día de Navidad,2019,12,25,1
18,2020-01-01,Año Nuevo,2020,01,01,1
19,2020-01-06,Día de los Reyes Magos,2020,01,06,1
20,2020-03-23,Día de San José,2020,03,23,1
21,2020-04-09,Jueves Santo,2020,04,09,1
22,2020-04-10,Viernes Santo,2020,04,10,1
23,2020-05-01,Día del Trabajo,2020,05,01,1
24,2020-05-25,Ascensión del Señor,2020,05,25,1
25,2020-06-15,Corphus Christi,2020,06,15,1
26,2020-06-22,Sagrado Corazón de Jesús,2020,06,22,1
27,2020-06-29,San Pedro y San Pablo,2020,06,29,1
28,2020-07-20,Día de la Independencia,2020,07,20,1
29,2020-08-07,Batalla de Boyacá,2020,08,07,1
30,2020-08-17,La Asunción de la Virgen,2020,08,17,1
31,2020-10-12,Día de la Raza,2020,10,12,1
32,2020-11-02,Todos los Santos,2020,11,02,1
33,2020-11-16,Independencia de Cartagena,2020,11,16,1
34,2020-12-08,Día de la Inmaculada Concepción,2020,12,08,1
35,2020-12-25,Día de Navidad,2020,12,25,1
